fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,wine_type,quality_binary,alcohol_category,acidity_ratio,sulfur_ratio,sugar_alcohol_interaction,ph_category,is_excellent,is_poor
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,red,0,Low,10.556348074179745,0.32351989647363316,17.86,Moderate,0,0
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,5,red,0,Low,8.853575482406356,0.37312875927224964,25.480000000000004,Acidic,0,0
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5,red,0,Low,10.249671484888305,0.2777726338401141,22.54,Acidic,0,0
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,6,red,1,Low,39.857651245551594,0.2833286111898135,18.62,Acidic,0,0
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,red,0,Low,10.556348074179745,0.32351989647363316,17.86,Moderate,0,0
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5,red,0,Low,11.195158850226928,0.32499187520311995,16.92,Moderate,0,0
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,5,red,0,Low,13.144758735440933,0.2542329791020491,15.040000000000001,Acidic,0,0
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7,red,1,Low,11.213517665130567,0.7142517022998904,12.0,Moderate,0,0
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,7,red,1,Low,13.425129087779691,0.49997222376534634,19.0,Moderate,0,0
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5,red,0,Medium,14.970059880239521,0.1666650326957579,64.05,Moderate,0,0
6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,5,red,0,Low,11.531841652323582,0.23076568052799187,16.56,Acidic,0,0
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5,red,0,Medium,14.970059880239521,0.1666650326957579,64.05,Moderate,0,0
5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,5,red,0,Low,9.09090909090909,0.27118184437551907,15.840000000000002,Moderate,0,0
7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,5,red,0,Low,12.76595744680851,0.31033412640943414,14.56,Acidic,0,0
8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,5,red,0,Low,14.331723027375203,0.3586182164260936,34.959999999999994,Acidic,0,0
8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,5,red,0,Low,14.331723027375203,0.34459226626847117,35.879999999999995,Acidic,0,0
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,7,red,1,Medium,30.249110320284693,0.3398025261890661,18.900000000000002,Acidic,0,0
8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,5,red,0,Low,14.438502673796789,0.28570918376457566,15.81,Acidic,0,0
7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,4,red,0,Low,12.521150592216584,0.20688941760628943,39.6,Moderate,0,1
7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,6,red,1,Low,24.610591900311526,0.30356600774986164,16.56,Acidic,0,0
8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,6,red,1,Low,40.27149321266968,0.48332527791203483,16.92,Moderate,0,0
7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,5,red,0,Low,19.437340153452684,0.3239390994493035,22.309999999999995,Moderate,0,0
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5,red,0,Low,18.329466357308586,0.2702629658657874,15.200000000000001,Acidic,0,0
8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,5,red,0,Low,17.311608961303463,0.13432635333800988,21.619999999999997,Acidic,0,0
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,6,red,1,Low,17.206982543640898,0.5249868753281168,23.279999999999998,Moderate,0,0
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,5,red,0,Low,16.11253196930946,0.4782400765184122,13.02,Moderate,0,0
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,5,red,0,Low,18.491484184914842,0.36360330879011,17.1,Acidic,0,0
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5,red,0,Low,18.329466357308586,0.2702629658657874,15.200000000000001,Acidic,0,0
7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,5,red,0,Low,9.985935302390999,0.3999885717550927,17.86,Moderate,0,0
7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,6,red,1,Low,12.074303405572754,0.4999687519530029,19.6,Moderate,0,0
6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,5,red,0,Medium,9.911242603550296,0.20731454494457383,24.24,Moderate,0,0
6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,6,red,1,Medium,10.058309037900875,0.5945785249047324,26.5,Moderate,0,0
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,5,red,0,Low,12.652439024390244,0.132742188122229,22.54,Acidic,0,0
6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,6,red,1,Low,11.386138613861387,0.48192190455536676,100.58,Moderate,0,0
5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,5,red,0,Low,16.1993769470405,0.25999480010399795,16.56,Moderate,0,0
7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,6,red,1,Low,12.074303405572754,0.2777623465363035,52.8,Moderate,0,0
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,6,red,1,Medium,12.978369384359402,0.1999866675554963,25.92,Moderate,0,0
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,7,red,1,Low,21.259842519685037,0.4333188893703543,20.37,Acidic,0,0
5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,4,red,0,Low,5.039787798408489,0.3684016630703647,14.700000000000001,Moderate,0,1
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5,red,0,Medium,16.186252771618623,0.1379294490867921,61.95,Moderate,0,0
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5,red,0,Medium,16.186252771618623,0.1379294490867921,61.95,Moderate,0,0
8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,4,red,0,Low,14.402618657937808,0.3695571835394883,26.04,Acidic,0,1
7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,6,red,1,Medium,15.274949083503055,0.5713877580172845,27.3,Acidic,0,0
8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,5,red,0,Medium,12.254160363086232,0.39128733533324633,22.660000000000004,Acidic,0,0
6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,5,red,0,Low,10.134128166915051,0.4545041359876375,17.1,Moderate,0,0
4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,4,red,0,High,8.829174664107484,0.12307502961492899,27.51,Basic,0,1
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,5,red,0,Low,8.226495726495726,0.19298076332663747,20.24,Acidic,0,0
8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,5,red,0,Low,29.896907216494846,0.32431555903894493,15.200000000000001,Acidic,0,0
6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,5,red,0,Low,15.960099750623442,0.41663194733772185,14.719999999999999,Moderate,0,0
5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,5,red,0,Low,18.0064308681672,0.12499869793022989,12.879999999999999,Moderate,0,0
8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,5,red,0,Low,13.313161875945537,0.1739054823703317,15.639999999999999,Acidic,0,0
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,6,red,1,Low,12.667946257197695,0.5332977801479901,20.680000000000003,Moderate,0,0
6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,6,red,1,Low,13.173652694610778,0.4285408185129634,19.740000000000002,Moderate,0,0
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,5,red,0,Low,22.572178477690287,0.2520987218594802,28.200000000000003,Acidic,0,0
7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,6,red,1,Medium,14.872798434442268,0.45204860207394415,28.559999999999995,Acidic,0,0
7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,5,red,0,Low,12.399355877616747,0.5555432101508856,36.1,Moderate,0,0
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,5,red,0,Low,24.228028503562946,0.3999600039996001,32.64,Acidic,0,0
7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,5,red,0,Low,11.885895404120443,0.454541322351615,47.94,Acidic,0,0
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,5,red,0,Low,13.197969543147208,0.31480898501879595,23.0,Moderate,0,0
7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,6,red,1,Low,18.67007672634271,0.19564792069737616,22.56,Moderate,0,0
8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,5,red,0,Low,21.945137157107233,0.3653775888925213,20.24,Moderate,0,0
7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,5,red,0,Low,11.143270622286542,0.17856983419790895,16.740000000000002,Acidic,0,0
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,7,red,1,Low,14.39539347408829,0.3428473472186509,18.05,Moderate,0,0
7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,5,red,0,Low,9.51086956521739,0.2407362826614322,19.6,Moderate,0,0
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5,red,0,Medium,9.917355371900827,0.36360330879011,50.685,Moderate,0,0
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5,red,0,Medium,9.917355371900827,0.36360330879011,50.685,Moderate,0,0
7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,5,red,0,Low,14.39539347408829,0.28204405015256023,14.399999999999999,Moderate,0,0
6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,5,red,0,Medium,9.34844192634561,0.3999733351109926,17.12,Moderate,0,0
9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,5,red,0,Medium,28.97196261682243,0.41537822495038534,21.4,Acidic,0,0
8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,6,red,1,Medium,11.3314447592068,0.4210304720804168,19.95,Moderate,0,0
7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,6,red,1,Low,12.202852614896988,0.5555349801859191,18.05,Moderate,0,0
7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,5,red,0,Low,11.475409836065573,0.17708148873449234,19.95,Moderate,0,0
7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,5,red,0,Low,11.143270622286542,0.19148732460292975,18.05,Moderate,0,0
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,4,red,0,Low,12.278106508875739,0.25580800446501245,19.32,Moderate,0,1
9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,5,red,0,Low,30.21806853582554,0.33734533318875676,24.0,Acidic,0,0
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5,red,0,Medium,21.411192214111924,0.21428061236637225,23.1,Moderate,0,0
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5,red,0,Medium,21.411192214111924,0.21428061236637225,23.1,Moderate,0,0
6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,6,red,1,Medium,8.651399491094146,0.4666511116296123,25.679999999999996,Moderate,0,0
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,5,red,0,Medium,8.921438082556591,0.1499981250234372,20.2,Moderate,0,0
8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,4,red,0,Low,13.258785942492015,0.22688884967353215,13.649999999999999,Acidic,0,1
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,5,red,0,Low,13.747228381374724,0.1999866675554963,14.719999999999999,Moderate,0,0
7.8,0.43,0.7,1.9,0.464,22.0,67.0,0.9974,3.13,1.28,9.4,5,red,0,Low,18.097447795823665,0.3283533081595797,17.86,Acidic,0,0
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,5,red,0,Low,14.770459081836329,0.28766729222887355,18.2,Moderate,0,0
